@relation DeliveryEstimate-weka.filters.unsupervised.attribute.Discretize-B50-M-1.0-Rfirst-last-precision6-unset-class-temporarily

@attribute postbox1 {Postbox1,Postbox2,Postbox3,Postbox4,Postbox5,Postbox6,Postbox7,Postbox8,Postbox9,Postbox10}
@attribute postbox2 {Postbox1,Postbox2,Postbox3,Postbox4,Postbox5,Postbox6,Postbox7,Postbox8,Postbox9,Postbox10}
@attribute timeOfDay {'\'(-inf-8.14]\'','\'(8.14-8.28]\'','\'(8.28-8.42]\'','\'(8.42-8.56]\'','\'(8.56-8.7]\'','\'(8.7-8.84]\'','\'(8.84-8.98]\'','\'(8.98-9.12]\'','\'(9.12-9.26]\'','\'(9.26-9.4]\'','\'(9.4-9.54]\'','\'(9.54-9.68]\'','\'(9.68-9.82]\'','\'(9.82-9.96]\'','\'(9.96-10.1]\'','\'(10.1-10.24]\'','\'(10.24-10.38]\'','\'(10.38-10.52]\'','\'(10.52-10.66]\'','\'(10.66-10.8]\'','\'(10.8-10.94]\'','\'(10.94-11.08]\'','\'(11.08-11.22]\'','\'(11.22-11.36]\'','\'(11.36-11.5]\'','\'(11.5-11.64]\'','\'(11.64-11.78]\'','\'(11.78-11.92]\'','\'(11.92-12.06]\'','\'(12.06-12.2]\'','\'(12.2-12.34]\'','\'(12.34-12.48]\'','\'(12.48-12.62]\'','\'(12.62-12.76]\'','\'(12.76-12.9]\'','\'(12.9-13.04]\'','\'(13.04-13.18]\'','\'(13.18-13.32]\'','\'(13.32-13.46]\'','\'(13.46-13.6]\'','\'(13.6-13.74]\'','\'(13.74-13.88]\'','\'(13.88-14.02]\'','\'(14.02-14.16]\'','\'(14.16-14.3]\'','\'(14.3-14.44]\'','\'(14.44-14.58]\'','\'(14.58-14.72]\'','\'(14.72-14.86]\'','\'(14.86-inf)\''}
@attribute dayOfWeek {MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,NULL}
@attribute timeNeeded {'\'(-inf-10.62]\'','\'(10.62-14.24]\'','\'(14.24-17.86]\'','\'(17.86-21.48]\'','\'(21.48-25.1]\'','\'(25.1-28.72]\'','\'(28.72-32.34]\'','\'(32.34-35.96]\'','\'(35.96-39.58]\'','\'(39.58-43.2]\'','\'(43.2-46.82]\'','\'(46.82-50.44]\'','\'(50.44-54.06]\'','\'(54.06-57.68]\'','\'(57.68-61.3]\'','\'(61.3-64.92]\'','\'(64.92-68.54]\'','\'(68.54-72.16]\'','\'(72.16-75.78]\'','\'(75.78-79.4]\'','\'(79.4-83.02]\'','\'(83.02-86.64]\'','\'(86.64-90.26]\'','\'(90.26-93.88]\'','\'(93.88-97.5]\'','\'(97.5-101.12]\'','\'(101.12-104.74]\'','\'(104.74-108.36]\'','\'(108.36-111.98]\'','\'(111.98-115.6]\'','\'(115.6-119.22]\'','\'(119.22-122.84]\'','\'(122.84-126.46]\'','\'(126.46-130.08]\'','\'(130.08-133.7]\'','\'(133.7-137.32]\'','\'(137.32-140.94]\'','\'(140.94-144.56]\'','\'(144.56-148.18]\'','\'(148.18-151.8]\'','\'(151.8-155.42]\'','\'(155.42-159.04]\'','\'(159.04-162.66]\'','\'(162.66-166.28]\'','\'(166.28-169.9]\'','\'(169.9-173.52]\'','\'(173.52-177.14]\'','\'(177.14-180.76]\'','\'(180.76-184.38]\'','\'(184.38-inf)\''}

@data
Postbox4,Postbox6,'\'(11.92-12.06]\'',TUESDAY,'\'(35.96-39.58]\''
Postbox9,Postbox4,'\'(-inf-8.14]\'',WEDNESDAY,'\'(64.92-68.54]\''
Postbox4,Postbox7,'\'(14.86-inf)\'',TUESDAY,'\'(35.96-39.58]\''
Postbox4,Postbox7,'\'(10.94-11.08]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox7,Postbox4,'\'(8.98-9.12]\'',MONDAY,'\'(43.2-46.82]\''
Postbox6,Postbox2,'\'(10.94-11.08]\'',MONDAY,'\'(83.02-86.64]\''
Postbox8,Postbox7,'\'(8.98-9.12]\'',FRIDAY,'\'(-inf-10.62]\''
Postbox10,Postbox1,'\'(13.88-14.02]\'',MONDAY,'\'(159.04-162.66]\''
Postbox5,Postbox7,'\'(8.98-9.12]\'',THURSDAY,'\'(21.48-25.1]\''
Postbox9,Postbox8,'\'(-inf-8.14]\'',WEDNESDAY,'\'(10.62-14.24]\''
Postbox8,Postbox4,'\'(13.88-14.02]\'',TUESDAY,'\'(61.3-64.92]\''
Postbox2,Postbox4,'\'(8.98-9.12]\'',TUESDAY,'\'(25.1-28.72]\''
Postbox5,Postbox8,'\'(-inf-8.14]\'',FRIDAY,'\'(17.86-21.48]\''
Postbox8,Postbox4,'\'(11.92-12.06]\'',THURSDAY,'\'(64.92-68.54]\''
Postbox7,Postbox6,'\'(12.9-13.04]\'',WEDNESDAY,'\'(17.86-21.48]\''
Postbox7,Postbox5,'\'(8.98-9.12]\'',TUESDAY,'\'(25.1-28.72]\''
Postbox6,Postbox8,'\'(-inf-8.14]\'',MONDAY,'\'(28.72-32.34]\''
Postbox2,Postbox8,'\'(13.88-14.02]\'',WEDNESDAY,'\'(90.26-93.88]\''
Postbox10,Postbox9,'\'(14.86-inf)\'',FRIDAY,'\'(-inf-10.62]\''
Postbox8,Postbox5,'\'(11.92-12.06]\'',FRIDAY,'\'(28.72-32.34]\''
Postbox8,Postbox1,'\'(8.98-9.12]\'',MONDAY,'\'(104.74-108.36]\''
Postbox2,Postbox3,'\'(12.9-13.04]\'',FRIDAY,'\'(-inf-10.62]\''
Postbox3,Postbox7,'\'(8.98-9.12]\'',FRIDAY,'\'(25.1-28.72]\''
Postbox7,Postbox4,'\'(8.98-9.12]\'',MONDAY,'\'(43.2-46.82]\''
Postbox5,Postbox6,'\'(10.94-11.08]\'',THURSDAY,'\'(14.24-17.86]\''
Postbox3,Postbox9,'\'(13.88-14.02]\'',TUESDAY,'\'(90.26-93.88]\''
Postbox1,Postbox6,'\'(8.98-9.12]\'',FRIDAY,'\'(32.34-35.96]\''
Postbox9,Postbox2,'\'(9.96-10.1]\'',THURSDAY,'\'(97.5-101.12]\''
Postbox10,Postbox7,'\'(12.9-13.04]\'',MONDAY,'\'(61.3-64.92]\''
Postbox10,Postbox5,'\'(9.96-10.1]\'',THURSDAY,'\'(68.54-72.16]\''
Postbox5,Postbox7,'\'(11.92-12.06]\'',THURSDAY,'\'(32.34-35.96]\''
Postbox9,Postbox2,'\'(11.92-12.06]\'',FRIDAY,'\'(64.92-68.54]\''
Postbox10,Postbox6,'\'(10.94-11.08]\'',MONDAY,'\'(83.02-86.64]\''
Postbox5,Postbox8,'\'(12.9-13.04]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox8,Postbox1,'\'(14.86-inf)\'',MONDAY,'\'(104.74-108.36]\''
Postbox5,Postbox1,'\'(11.92-12.06]\'',FRIDAY,'\'(35.96-39.58]\''
Postbox2,Postbox7,'\'(10.94-11.08]\'',WEDNESDAY,'\'(90.26-93.88]\''
Postbox7,Postbox4,'\'(10.94-11.08]\'',TUESDAY,'\'(50.44-54.06]\''
Postbox3,Postbox8,'\'(11.92-12.06]\'',MONDAY,'\'(104.74-108.36]\''
Postbox6,Postbox7,'\'(10.94-11.08]\'',FRIDAY,'\'(-inf-10.62]\''
Postbox8,Postbox1,'\'(10.94-11.08]\'',MONDAY,'\'(144.56-148.18]\''
Postbox8,Postbox7,'\'(14.86-inf)\'',WEDNESDAY,'\'(10.62-14.24]\''
Postbox2,Postbox4,'\'(10.94-11.08]\'',MONDAY,'\'(39.58-43.2]\''
Postbox7,Postbox8,'\'(10.94-11.08]\'',WEDNESDAY,'\'(17.86-21.48]\''
Postbox8,Postbox2,'\'(13.88-14.02]\'',WEDNESDAY,'\'(90.26-93.88]\''
Postbox5,Postbox9,'\'(8.98-9.12]\'',THURSDAY,'\'(46.82-50.44]\''
Postbox7,Postbox4,'\'(14.86-inf)\'',FRIDAY,'\'(17.86-21.48]\''
Postbox6,Postbox9,'\'(13.88-14.02]\'',MONDAY,'\'(50.44-54.06]\''
Postbox6,Postbox4,'\'(11.92-12.06]\'',TUESDAY,'\'(35.96-39.58]\''
Postbox4,Postbox2,'\'(10.94-11.08]\'',FRIDAY,'\'(17.86-21.48]\''
Postbox2,Postbox6,'\'(9.96-10.1]\'',FRIDAY,'\'(32.34-35.96]\''
Postbox7,Postbox4,'\'(13.88-14.02]\'',TUESDAY,'\'(43.2-46.82]\''
Postbox9,Postbox10,'\'(-inf-8.14]\'',THURSDAY,'\'(10.62-14.24]\''
Postbox7,Postbox4,'\'(-inf-8.14]\'',FRIDAY,'\'(17.86-21.48]\''
Postbox4,Postbox7,'\'(12.9-13.04]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox9,Postbox4,'\'(13.88-14.02]\'',WEDNESDAY,'\'(75.78-79.4]\''
Postbox2,Postbox7,'\'(14.86-inf)\'',THURSDAY,'\'(57.68-61.3]\''
Postbox7,Postbox3,'\'(8.98-9.12]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox4,Postbox6,'\'(14.86-inf)\'',FRIDAY,'\'(10.62-14.24]\''
Postbox4,Postbox8,'\'(-inf-8.14]\'',THURSDAY,'\'(46.82-50.44]\''
Postbox7,Postbox2,'\'(14.86-inf)\'',TUESDAY,'\'(64.92-68.54]\''
Postbox6,Postbox4,'\'(10.94-11.08]\'',THURSDAY,'\'(32.34-35.96]\''
Postbox4,Postbox8,'\'(10.94-11.08]\'',THURSDAY,'\'(64.92-68.54]\''
Postbox6,Postbox5,'\'(9.96-10.1]\'',THURSDAY,'\'(10.62-14.24]\''
Postbox1,Postbox10,'\'(11.92-12.06]\'',TUESDAY,'\'(162.66-166.28]\''
Postbox9,Postbox5,'\'(12.9-13.04]\'',MONDAY,'\'(83.02-86.64]\''
Postbox7,Postbox9,'\'(11.92-12.06]\'',FRIDAY,'\'(17.86-21.48]\''
Postbox7,Postbox3,'\'(9.96-10.1]\'',TUESDAY,'\'(61.3-64.92]\''
Postbox5,Postbox6,'\'(10.94-11.08]\'',TUESDAY,'\'(17.86-21.48]\''
Postbox3,Postbox9,'\'(12.9-13.04]\'',THURSDAY,'\'(97.5-101.12]\''
Postbox8,Postbox10,'\'(-inf-8.14]\'',WEDNESDAY,'\'(25.1-28.72]\''
Postbox6,Postbox4,'\'(13.88-14.02]\'',TUESDAY,'\'(28.72-32.34]\''
Postbox9,Postbox2,'\'(12.9-13.04]\'',MONDAY,'\'(144.56-148.18]\''
Postbox2,Postbox3,'\'(10.94-11.08]\'',WEDNESDAY,'\'(17.86-21.48]\''
Postbox5,Postbox3,'\'(14.86-inf)\'',TUESDAY,'\'(25.1-28.72]\''
Postbox2,Postbox5,'\'(11.92-12.06]\'',TUESDAY,'\'(50.44-54.06]\''
Postbox6,Postbox1,'\'(-inf-8.14]\'',TUESDAY,'\'(64.92-68.54]\''
Postbox9,Postbox8,'\'(11.92-12.06]\'',TUESDAY,'\'(17.86-21.48]\''
Postbox2,Postbox1,'\'(12.9-13.04]\'',WEDNESDAY,'\'(17.86-21.48]\''
Postbox7,Postbox4,'\'(13.88-14.02]\'',TUESDAY,'\'(43.2-46.82]\''
Postbox7,Postbox3,'\'(14.86-inf)\'',THURSDAY,'\'(46.82-50.44]\''
Postbox10,Postbox4,'\'(13.88-14.02]\'',TUESDAY,'\'(90.26-93.88]\''
Postbox2,Postbox3,'\'(10.94-11.08]\'',THURSDAY,'\'(14.24-17.86]\''
Postbox10,Postbox1,'\'(8.98-9.12]\'',WEDNESDAY,'\'(115.6-119.22]\''
Postbox8,Postbox6,'\'(13.88-14.02]\'',WEDNESDAY,'\'(28.72-32.34]\''
Postbox10,Postbox3,'\'(14.86-inf)\'',MONDAY,'\'(104.74-108.36]\''
Postbox10,Postbox2,'\'(14.86-inf)\'',MONDAY,'\'(119.22-122.84]\''
Postbox9,Postbox2,'\'(-inf-8.14]\'',MONDAY,'\'(104.74-108.36]\''
Postbox8,Postbox7,'\'(13.88-14.02]\'',THURSDAY,'\'(10.62-14.24]\''
Postbox7,Postbox2,'\'(8.98-9.12]\'',THURSDAY,'\'(57.68-61.3]\''
Postbox2,Postbox10,'\'(-inf-8.14]\'',FRIDAY,'\'(54.06-57.68]\''
Postbox3,Postbox2,'\'(14.86-inf)\'',WEDNESDAY,'\'(10.62-14.24]\''
Postbox7,Postbox10,'\'(12.9-13.04]\'',MONDAY,'\'(61.3-64.92]\''
Postbox6,Postbox7,'\'(13.88-14.02]\'',MONDAY,'\'(17.86-21.48]\''
Postbox10,Postbox2,'\'(8.98-9.12]\'',WEDNESDAY,'\'(101.12-104.74]\''
Postbox5,Postbox2,'\'(8.98-9.12]\'',THURSDAY,'\'(35.96-39.58]\''
Postbox9,Postbox5,'\'(-inf-8.14]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox6,Postbox10,'\'(10.94-11.08]\'',MONDAY,'\'(83.02-86.64]\''
Postbox9,Postbox5,'\'(9.96-10.1]\'',TUESDAY,'\'(61.3-64.92]\''
Postbox6,Postbox9,'\'(8.98-9.12]\'',TUESDAY,'\'(35.96-39.58]\''
Postbox5,Postbox9,'\'(10.94-11.08]\'',FRIDAY,'\'(35.96-39.58]\''
Postbox6,Postbox9,'\'(-inf-8.14]\'',MONDAY,'\'(43.2-46.82]\''
Postbox10,Postbox6,'\'(12.9-13.04]\'',WEDNESDAY,'\'(68.54-72.16]\''
Postbox10,Postbox6,'\'(13.88-14.02]\'',THURSDAY,'\'(54.06-57.68]\''
Postbox1,Postbox9,'\'(14.86-inf)\'',TUESDAY,'\'(101.12-104.74]\''
Postbox10,Postbox9,'\'(12.9-13.04]\'',FRIDAY,'\'(-inf-10.62]\''
Postbox3,Postbox4,'\'(8.98-9.12]\'',THURSDAY,'\'(10.62-14.24]\''
Postbox6,Postbox1,'\'(-inf-8.14]\'',MONDAY,'\'(72.16-75.78]\''
Postbox10,Postbox9,'\'(13.88-14.02]\'',FRIDAY,'\'(-inf-10.62]\''
Postbox6,Postbox1,'\'(11.92-12.06]\'',MONDAY,'\'(104.74-108.36]\''
Postbox10,Postbox6,'\'(13.88-14.02]\'',FRIDAY,'\'(32.34-35.96]\''
Postbox4,Postbox8,'\'(8.98-9.12]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox7,Postbox1,'\'(-inf-8.14]\'',FRIDAY,'\'(39.58-43.2]\''
Postbox8,Postbox2,'\'(11.92-12.06]\'',WEDNESDAY,'\'(108.36-111.98]\''
Postbox9,Postbox6,'\'(-inf-8.14]\'',FRIDAY,'\'(17.86-21.48]\''
Postbox3,Postbox8,'\'(-inf-8.14]\'',THURSDAY,'\'(57.68-61.3]\''
Postbox9,Postbox5,'\'(11.92-12.06]\'',MONDAY,'\'(83.02-86.64]\''
Postbox5,Postbox2,'\'(9.96-10.1]\'',MONDAY,'\'(50.44-54.06]\''
Postbox3,Postbox9,'\'(8.98-9.12]\'',MONDAY,'\'(86.64-90.26]\''
Postbox5,Postbox3,'\'(9.96-10.1]\'',THURSDAY,'\'(25.1-28.72]\''
Postbox8,Postbox5,'\'(11.92-12.06]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox5,Postbox10,'\'(12.9-13.04]\'',THURSDAY,'\'(83.02-86.64]\''
Postbox4,Postbox1,'\'(9.96-10.1]\'',FRIDAY,'\'(21.48-25.1]\''
Postbox4,Postbox10,'\'(11.92-12.06]\'',TUESDAY,'\'(108.36-111.98]\''
Postbox6,Postbox7,'\'(8.98-9.12]\'',THURSDAY,'\'(10.62-14.24]\''
Postbox8,Postbox2,'\'(11.92-12.06]\'',MONDAY,'\'(122.84-126.46]\''
Postbox8,Postbox6,'\'(-inf-8.14]\'',THURSDAY,'\'(21.48-25.1]\''
Postbox6,Postbox3,'\'(10.94-11.08]\'',TUESDAY,'\'(50.44-54.06]\''
Postbox8,Postbox3,'\'(12.9-13.04]\'',THURSDAY,'\'(83.02-86.64]\''
Postbox9,Postbox2,'\'(9.96-10.1]\'',MONDAY,'\'(122.84-126.46]\''
Postbox2,Postbox8,'\'(12.9-13.04]\'',THURSDAY,'\'(97.5-101.12]\''
Postbox7,Postbox1,'\'(9.96-10.1]\'',THURSDAY,'\'(83.02-86.64]\''
Postbox6,Postbox2,'\'(9.96-10.1]\'',TUESDAY,'\'(61.3-64.92]\''
Postbox5,Postbox8,'\'(8.98-9.12]\'',FRIDAY,'\'(17.86-21.48]\''
Postbox10,Postbox6,'\'(8.98-9.12]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox6,Postbox1,'\'(-inf-8.14]\'',FRIDAY,'\'(32.34-35.96]\''
Postbox6,Postbox1,'\'(14.86-inf)\'',WEDNESDAY,'\'(64.92-68.54]\''
Postbox8,Postbox6,'\'(11.92-12.06]\'',FRIDAY,'\'(17.86-21.48]\''
Postbox4,Postbox9,'\'(12.9-13.04]\'',WEDNESDAY,'\'(90.26-93.88]\''
Postbox5,Postbox10,'\'(14.86-inf)\'',WEDNESDAY,'\'(64.92-68.54]\''
Postbox10,Postbox9,'\'(-inf-8.14]\'',FRIDAY,'\'(-inf-10.62]\''
Postbox1,Postbox4,'\'(-inf-8.14]\'',THURSDAY,'\'(35.96-39.58]\''
Postbox5,Postbox9,'\'(10.94-11.08]\'',WEDNESDAY,'\'(68.54-72.16]\''
Postbox3,Postbox5,'\'(14.86-inf)\'',FRIDAY,'\'(10.62-14.24]\''
Postbox5,Postbox10,'\'(11.92-12.06]\'',THURSDAY,'\'(83.02-86.64]\''
Postbox8,Postbox2,'\'(11.92-12.06]\'',FRIDAY,'\'(57.68-61.3]\''
Postbox9,Postbox3,'\'(10.94-11.08]\'',FRIDAY,'\'(57.68-61.3]\''
Postbox2,Postbox6,'\'(14.86-inf)\'',FRIDAY,'\'(25.1-28.72]\''
Postbox3,Postbox6,'\'(12.9-13.04]\'',FRIDAY,'\'(28.72-32.34]\''
Postbox9,Postbox5,'\'(8.98-9.12]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox10,Postbox3,'\'(9.96-10.1]\'',THURSDAY,'\'(97.5-101.12]\''
Postbox7,Postbox4,'\'(12.9-13.04]\'',MONDAY,'\'(61.3-64.92]\''
Postbox3,Postbox8,'\'(11.92-12.06]\'',THURSDAY,'\'(83.02-86.64]\''
Postbox1,Postbox7,'\'(9.96-10.1]\'',FRIDAY,'\'(46.82-50.44]\''
Postbox9,Postbox3,'\'(8.98-9.12]\'',FRIDAY,'\'(39.58-43.2]\''
Postbox1,Postbox4,'\'(11.92-12.06]\'',MONDAY,'\'(61.3-64.92]\''
Postbox6,Postbox5,'\'(10.94-11.08]\'',THURSDAY,'\'(14.24-17.86]\''
Postbox9,Postbox6,'\'(8.98-9.12]\'',WEDNESDAY,'\'(35.96-39.58]\''
Postbox7,Postbox5,'\'(10.94-11.08]\'',TUESDAY,'\'(35.96-39.58]\''
Postbox2,Postbox6,'\'(-inf-8.14]\'',WEDNESDAY,'\'(50.44-54.06]\''
Postbox2,Postbox5,'\'(12.9-13.04]\'',FRIDAY,'\'(28.72-32.34]\''
Postbox7,Postbox2,'\'(14.86-inf)\'',WEDNESDAY,'\'(64.92-68.54]\''
Postbox1,Postbox9,'\'(11.92-12.06]\'',FRIDAY,'\'(75.78-79.4]\''
Postbox2,Postbox7,'\'(11.92-12.06]\'',WEDNESDAY,'\'(90.26-93.88]\''
Postbox7,Postbox5,'\'(13.88-14.02]\'',WEDNESDAY,'\'(28.72-32.34]\''
Postbox6,Postbox5,'\'(14.86-inf)\'',TUESDAY,'\'(10.62-14.24]\''
Postbox5,Postbox9,'\'(11.92-12.06]\'',FRIDAY,'\'(35.96-39.58]\''
Postbox5,Postbox7,'\'(9.96-10.1]\'',MONDAY,'\'(35.96-39.58]\''
Postbox5,Postbox9,'\'(12.9-13.04]\'',TUESDAY,'\'(68.54-72.16]\''
Postbox3,Postbox1,'\'(13.88-14.02]\'',THURSDAY,'\'(25.1-28.72]\''
Postbox4,Postbox2,'\'(12.9-13.04]\'',THURSDAY,'\'(32.34-35.96]\''
Postbox6,Postbox10,'\'(13.88-14.02]\'',THURSDAY,'\'(54.06-57.68]\''
Postbox3,Postbox10,'\'(13.88-14.02]\'',WEDNESDAY,'\'(108.36-111.98]\''
Postbox9,Postbox4,'\'(-inf-8.14]\'',WEDNESDAY,'\'(64.92-68.54]\''
Postbox9,Postbox7,'\'(14.86-inf)\'',MONDAY,'\'(28.72-32.34]\''
Postbox7,Postbox1,'\'(14.86-inf)\'',FRIDAY,'\'(39.58-43.2]\''
Postbox8,Postbox7,'\'(14.86-inf)\'',MONDAY,'\'(14.24-17.86]\''
Postbox8,Postbox6,'\'(10.94-11.08]\'',MONDAY,'\'(39.58-43.2]\''
Postbox1,Postbox3,'\'(11.92-12.06]\'',WEDNESDAY,'\'(35.96-39.58]\''
Postbox4,Postbox1,'\'(14.86-inf)\'',WEDNESDAY,'\'(35.96-39.58]\''
Postbox9,Postbox7,'\'(13.88-14.02]\'',WEDNESDAY,'\'(28.72-32.34]\''
Postbox2,Postbox7,'\'(12.9-13.04]\'',WEDNESDAY,'\'(90.26-93.88]\''
Postbox10,Postbox9,'\'(11.92-12.06]\'',THURSDAY,'\'(14.24-17.86]\''
Postbox10,Postbox5,'\'(13.88-14.02]\'',FRIDAY,'\'(39.58-43.2]\''
Postbox6,Postbox1,'\'(14.86-inf)\'',MONDAY,'\'(72.16-75.78]\''
Postbox9,Postbox8,'\'(14.86-inf)\'',WEDNESDAY,'\'(10.62-14.24]\''
Postbox10,Postbox8,'\'(12.9-13.04]\'',THURSDAY,'\'(32.34-35.96]\''
Postbox3,Postbox9,'\'(9.96-10.1]\'',THURSDAY,'\'(83.02-86.64]\''
Postbox7,Postbox6,'\'(14.86-inf)\'',THURSDAY,'\'(10.62-14.24]\''
Postbox6,Postbox3,'\'(12.9-13.04]\'',THURSDAY,'\'(46.82-50.44]\''
Postbox9,Postbox7,'\'(-inf-8.14]\'',TUESDAY,'\'(25.1-28.72]\''
Postbox5,Postbox1,'\'(-inf-8.14]\'',TUESDAY,'\'(50.44-54.06]\''
Postbox1,Postbox4,'\'(8.98-9.12]\'',WEDNESDAY,'\'(35.96-39.58]\''
Postbox9,Postbox6,'\'(13.88-14.02]\'',MONDAY,'\'(50.44-54.06]\''
Postbox8,Postbox1,'\'(13.88-14.02]\'',WEDNESDAY,'\'(108.36-111.98]\''
Postbox8,Postbox4,'\'(8.98-9.12]\'',THURSDAY,'\'(46.82-50.44]\''
Postbox8,Postbox5,'\'(13.88-14.02]\'',FRIDAY,'\'(21.48-25.1]\''
Postbox9,Postbox5,'\'(13.88-14.02]\'',MONDAY,'\'(68.54-72.16]\''
Postbox3,Postbox7,'\'(13.88-14.02]\'',THURSDAY,'\'(54.06-57.68]\''
Postbox7,Postbox10,'\'(11.92-12.06]\'',THURSDAY,'\'(46.82-50.44]\''
Postbox10,Postbox8,'\'(14.86-inf)\'',THURSDAY,'\'(21.48-25.1]\''
Postbox7,Postbox6,'\'(13.88-14.02]\'',WEDNESDAY,'\'(14.24-17.86]\''
Postbox2,Postbox7,'\'(13.88-14.02]\'',TUESDAY,'\'(75.78-79.4]\''
Postbox9,Postbox7,'\'(13.88-14.02]\'',MONDAY,'\'(35.96-39.58]\''
Postbox8,Postbox1,'\'(13.88-14.02]\'',FRIDAY,'\'(57.68-61.3]\''
Postbox10,Postbox2,'\'(9.96-10.1]\'',THURSDAY,'\'(111.98-115.6]\''
Postbox8,Postbox3,'\'(11.92-12.06]\'',THURSDAY,'\'(83.02-86.64]\''
Postbox7,Postbox1,'\'(13.88-14.02]\'',MONDAY,'\'(104.74-108.36]\''
Postbox7,Postbox10,'\'(11.92-12.06]\'',THURSDAY,'\'(46.82-50.44]\''
Postbox5,Postbox10,'\'(8.98-9.12]\'',TUESDAY,'\'(64.92-68.54]\''
Postbox8,Postbox9,'\'(14.86-inf)\'',WEDNESDAY,'\'(10.62-14.24]\''
Postbox1,Postbox2,'\'(12.9-13.04]\'',FRIDAY,'\'(-inf-10.62]\''
Postbox2,Postbox4,'\'(12.9-13.04]\'',WEDNESDAY,'\'(35.96-39.58]\''
Postbox3,Postbox5,'\'(-inf-8.14]\'',WEDNESDAY,'\'(25.1-28.72]\''
Postbox5,Postbox2,'\'(8.98-9.12]\'',WEDNESDAY,'\'(35.96-39.58]\''
Postbox8,Postbox3,'\'(9.96-10.1]\'',FRIDAY,'\'(39.58-43.2]\''
Postbox6,Postbox9,'\'(11.92-12.06]\'',TUESDAY,'\'(50.44-54.06]\''
Postbox7,Postbox8,'\'(14.86-inf)\'',WEDNESDAY,'\'(10.62-14.24]\''
Postbox10,Postbox2,'\'(10.94-11.08]\'',THURSDAY,'\'(133.7-137.32]\''
Postbox2,Postbox3,'\'(11.92-12.06]\'',MONDAY,'\'(17.86-21.48]\''
Postbox6,Postbox1,'\'(13.88-14.02]\'',FRIDAY,'\'(39.58-43.2]\''
Postbox1,Postbox10,'\'(-inf-8.14]\'',FRIDAY,'\'(61.3-64.92]\''
Postbox5,Postbox9,'\'(13.88-14.02]\'',THURSDAY,'\'(54.06-57.68]\''
Postbox2,Postbox10,'\'(-inf-8.14]\'',WEDNESDAY,'\'(101.12-104.74]\''
Postbox2,Postbox10,'\'(8.98-9.12]\'',THURSDAY,'\'(93.88-97.5]\''
Postbox5,Postbox3,'\'(11.92-12.06]\'',THURSDAY,'\'(32.34-35.96]\''
Postbox5,Postbox2,'\'(8.98-9.12]\'',THURSDAY,'\'(35.96-39.58]\''
Postbox7,Postbox5,'\'(12.9-13.04]\'',TUESDAY,'\'(35.96-39.58]\''
Postbox8,Postbox2,'\'(-inf-8.14]\'',FRIDAY,'\'(39.58-43.2]\''
Postbox4,Postbox2,'\'(13.88-14.02]\'',FRIDAY,'\'(14.24-17.86]\''
Postbox6,Postbox10,'\'(12.9-13.04]\'',WEDNESDAY,'\'(68.54-72.16]\''
Postbox7,Postbox1,'\'(12.9-13.04]\'',THURSDAY,'\'(97.5-101.12]\''
Postbox8,Postbox6,'\'(9.96-10.1]\'',THURSDAY,'\'(25.1-28.72]\''
Postbox3,Postbox5,'\'(9.96-10.1]\'',MONDAY,'\'(35.96-39.58]\''
Postbox1,Postbox10,'\'(-inf-8.14]\'',TUESDAY,'\'(115.6-119.22]\''
Postbox9,Postbox7,'\'(9.96-10.1]\'',FRIDAY,'\'(14.24-17.86]\''
Postbox2,Postbox6,'\'(12.9-13.04]\'',TUESDAY,'\'(68.54-72.16]\''
Postbox3,Postbox1,'\'(8.98-9.12]\'',TUESDAY,'\'(25.1-28.72]\''
Postbox9,Postbox6,'\'(9.96-10.1]\'',WEDNESDAY,'\'(43.2-46.82]\''
Postbox3,Postbox10,'\'(12.9-13.04]\'',THURSDAY,'\'(115.6-119.22]\''
Postbox1,Postbox9,'\'(9.96-10.1]\'',FRIDAY,'\'(64.92-68.54]\''
Postbox10,Postbox7,'\'(-inf-8.14]\'',MONDAY,'\'(43.2-46.82]\''
Postbox4,Postbox6,'\'(10.94-11.08]\'',THURSDAY,'\'(32.34-35.96]\''
Postbox9,Postbox7,'\'(11.92-12.06]\'',WEDNESDAY,'\'(35.96-39.58]\''
Postbox5,Postbox2,'\'(-inf-8.14]\'',TUESDAY,'\'(35.96-39.58]\''
Postbox10,Postbox3,'\'(9.96-10.1]\'',FRIDAY,'\'(57.68-61.3]\''
Postbox3,Postbox10,'\'(14.86-inf)\'',THURSDAY,'\'(83.02-86.64]\''
Postbox6,Postbox5,'\'(11.92-12.06]\'',THURSDAY,'\'(14.24-17.86]\''
Postbox3,Postbox7,'\'(10.94-11.08]\'',WEDNESDAY,'\'(68.54-72.16]\''
Postbox4,Postbox10,'\'(-inf-8.14]\'',TUESDAY,'\'(75.78-79.4]\''
